Posición	|	Numero 
1	|	0 
2	|	1 
3	|	2 
4	|	3 
5	|	4 
6	|	5 
7	|	7 
8	|	9 
9	|	11 
10	|	13 
11	|	17 
12	|	19 
13	|	23 
14	|	25 
15	|	29 
16	|	31 
17	|	37 
18	|	41 
19	|	43 
20	|	47 
21	|	49 
22	|	53 
23	|	59 
24	|	61 
25	|	67 
26	|	71 
27	|	73 
28	|	79 
29	|	83 
30	|	89 
31	|	97 
32	|	101 
33	|	103 
34	|	107 
35	|	109 
36	|	113 
37	|	121 
38	|	127 
39	|	131 
40	|	137 
41	|	139 
42	|	149 
43	|	151 
44	|	157 
45	|	163 
46	|	167 
47	|	169 
48	|	173 
49	|	179 
50	|	181 
51	|	191 
52	|	193 
53	|	197 
54	|	199 
55	|	211 
56	|	223 
57	|	227 
58	|	229 
59	|	233 
60	|	239 
61	|	241 
62	|	251 
63	|	257 
64	|	263 
65	|	269 
66	|	271 
67	|	277 
68	|	281 
69	|	283 
70	|	289 
71	|	293 
72	|	307 
73	|	311 
74	|	313 
75	|	317 
76	|	331 
77	|	337 
78	|	347 
79	|	349 
80	|	353 
81	|	359 
82	|	361 
83	|	367 
84	|	373 
85	|	379 
86	|	383 
87	|	389 
88	|	397 
89	|	401 
90	|	409 
91	|	419 
92	|	421 
93	|	431 
94	|	433 
95	|	439 
96	|	443 
97	|	449 
98	|	457 
99	|	461 
100	|	463 
101	|	467 
102	|	479 
103	|	487 
104	|	491 
105	|	499 
106	|	503 
107	|	509 
108	|	521 
109	|	523 
110	|	529 
111	|	541 
112	|	547 
113	|	557 
114	|	563 
115	|	569 
116	|	571 
117	|	577 
118	|	587 
119	|	593 
120	|	599 
121	|	601 
122	|	607 
123	|	613 
124	|	617 
125	|	619 
126	|	631 
127	|	641 
128	|	643 
129	|	647 
130	|	653 
131	|	659 
132	|	661 
133	|	673 
134	|	677 
135	|	683 
136	|	691 
137	|	701 
138	|	709 
139	|	719 
140	|	727 
141	|	733 
142	|	739 
143	|	743 
144	|	751 
145	|	757 
146	|	761 
147	|	769 
148	|	773 
149	|	787 
150	|	797 
151	|	809 
152	|	811 
153	|	821 
154	|	823 
155	|	827 
156	|	829 
157	|	839 
158	|	841 
159	|	853 
160	|	857 
161	|	859 
162	|	863 
163	|	877 
164	|	881 
165	|	883 
166	|	887 
167	|	907 
168	|	911 
169	|	919 
170	|	929 
171	|	937 
172	|	941 
173	|	947 
174	|	953 
175	|	961 
176	|	967 
177	|	971 
178	|	977 
179	|	983 
180	|	991 
181	|	997 
182	|	1009 
183	|	1013 
184	|	1019 
185	|	1021 
186	|	1031 
187	|	1033 
188	|	1039 
189	|	1049 
190	|	1051 
191	|	1061 
192	|	1063 
193	|	1069 
194	|	1087 
195	|	1091 
196	|	1093 
197	|	1097 
198	|	1103 
199	|	1109 
200	|	1117 
201	|	1123 
202	|	1129 
203	|	1151 
204	|	1153 
205	|	1163 
206	|	1171 
207	|	1181 
208	|	1187 
209	|	1193 
210	|	1201 
211	|	1213 
212	|	1217 
213	|	1223 
214	|	1229 
215	|	1231 
216	|	1237 
217	|	1249 
218	|	1259 
219	|	1277 
220	|	1279 
221	|	1283 
222	|	1289 
223	|	1291 
224	|	1297 
225	|	1301 
226	|	1303 
227	|	1307 
228	|	1319 
229	|	1321 
230	|	1327 
231	|	1361 
